Kaksparsh                           (2012, Drama, Family, History        Mahesh Manjrekar              Sachin Khedekar, Priya Bapa...]
Domani è un altro giorno            (2019, Comedy, Drama                 Simone Spada                  Valerio Mastandrea, Marco G...]
Body Melt                           (1993, Horror, Comedy, Sci-Fi        Philip Brophy                 Gerard Kennedy, Andrew Dadd...]
Nora's Hair Salon II                (2008, Comedy                        Jill Maxcy                    Tatyana Ali, Stacey Dash, M...]
The Women                           (2008, Comedy, Drama                 Diane English                 Meg Ryan, Annette Bening, E...]
Frankie and Johnny Are Married      (2003, Comedy                        Michael Pressman              Michael Pressman, Lisa Ches...]
She he ba bu                        (1978, Action, Drama                 Chi-Hwa Chen                  Jackie Chan, Nora Miao, Jeo...]
The Man Who Invented Christmas      (2017, Biography, Comedy, Drama      Bharat Nalluri                Dan Stevens, Mark Schrier, ...]
Ti presento Sofia                   (2018, Comedy                        Guido Chiesa                  Fabio De Luigi, Micaela Ram...]
Olimpius Inferno                    (2009, Action                        Igor Voloshin                 Henry David, Polina Filonen...]
Pekka ja Pätkä pahassa pulassa      (1955, Comedy                        Armand Lohikoski              Esa Pakarinen, Masa Niemi, ...]
Fighting Words                      (2007, Drama, Romance                E. Paul Edwards, E. Paul Ed...C. Thomas Howell, Cristina ...]
Violent Playground                  (1958, Drama, Crime                  Basil Dearden                 Stanley Baker, Anne Heywood...]
Un monstre à Paris                  (2011, Animation, Adventure, Comedy  Bibo Bergeron                 Matthieu Chedid, Vanessa Pa...]
The Intruders                       (2015, Drama, Horror, Mystery        Adam Massey                   Miranda Cosgrove, Donal Log...]
Plaisir à trois                     (1974, Drama                         Jesús Franco                  Alice Arno, Robert Woods, H...]
Crackerjack 2                       (1997, Action                        Robert Lee                    Judge Reinhold, Carol Alt, ...]
In una notte di chiaro di luna      (1989, Drama                         Lina Wertmüller               Rutger Hauer, Nastassja Kin...]
L'ultima neve di primavera          (1973, Drama                         Raimondo Del Balzo            Bekim Fehmiu, Agostina Bell...]
War Bus                             (1986, Action, War                   Ferdinando Baldi              Daniel Stephen, Romano Kris...]
De la part des copains              (1970, Action, Crime, Drama          Terence Young                 Charles Bronson, Liv Ullman...]
Hjelp, vi er i filmbransjen         (2011, Comedy                        Nini Bull Robsahm, Patrik S...Peter Stormare, Jeppe Beck ...]
Give My Regards to Broad Street     (1984, Drama, Music                  Peter Webb                    John Burgess, Bryan Brown, ...]
Catch That Kid                      (2004, Adventure, Comedy, Crime      Bart Freundlich               Kristen Stewart, Corbin Ble...]
Demon Eye                           (2019, Horror                        Ryan Simons                   Darren Day, Liam Fox, Kate ...]
